time;knee_angle_l
1.112;-19.05233197
1.113;-18.69993172
1.114;-18.34950198
1.115;-18.00109858
1.116;-17.65477691
1.117;-17.31059194
1.118;-16.9685982
1.119;-16.62884975
1.12;-16.29140015
1.121;-15.95630245
1.122;-15.62360921
1.123;-15.29337243
1.124;-14.96564358
1.125;-14.64047355
1.126;-14.31791264
1.127;-13.99801059
1.128;-13.68081648
1.129;-13.36637881
1.13;-13.05474539
1.131;-12.74596342
1.132;-12.44007939
1.133;-12.13713913
1.134;-11.83718773
1.135;-11.54026962
1.136;-11.24642845
1.137;-10.95570715
1.138;-10.66814792
1.139;-10.38379216
1.14;-10.10268052
1.141;-9.82485292
1.142;-9.55034837
1.143;-9.27920499
1.144;-9.01146012
1.145;-8.7471503
1.146;-8.48631126
1.147;-8.22897787
1.148;-7.97518413
1.149;-7.7249632
1.15;-7.47834737
1.151;-7.23536801
1.152;-6.99605563
1.153;-6.7604398
1.154;-6.52854919
1.155;-6.30041156
1.156;-6.07605371
1.157;-5.85550153
1.158;-5.63877995
1.159;-5.42591295
1.16;-5.21692355
1.161;-5.01183381
1.162;-4.81066479
1.163;-4.6134366
1.164;-4.42016833
1.165;-4.23087809
1.166;-4.04558296
1.167;-3.86429904
1.168;-3.68704138
1.169;-3.51382401
1.17;-3.34465995
1.171;-3.17956116
1.172;-3.0185386
1.173;-2.86160217
1.174;-2.70876075
1.175;-2.56002218
1.176;-2.41539327
1.177;-2.27487979
1.178;-2.13848647
1.179;-2.00621699
1.18;-1.87807401
1.181;-1.75405913
1.182;-1.63417294
1.183;-1.51841495
1.184;-1.40678364
1.185;-1.29927644
1.186;-1.19588977
1.187;-1.096619
1.188;-1.00145846
1.189;-0.91040145
1.19;-0.82344027
1.191;-0.7405662
1.192;-0.66176955
1.193;-0.58703957
1.194;-0.51636454
1.195;-0.44973174
1.196;-0.3871275
1.197;-0.32853713
1.198;-0.27394499
1.199;-0.22333443
1.2;-0.17668788
1.201;-0.13398678
1.202;-0.09521163
1.203;-0.06034198
1.204;-0.02935641
